gw,provisional,id,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,played,recoveries,red_cards,saves,starts,tackles,threat,total_points,yellow_cards
1,False,1,0,0,24,1,1,0.0,0,0.00,0.00,0.00,0.20,0,0,1.2,False,11.8,90,0,0,0,True,8,0,1,1,0,0.0,6,0
1,False,4,0,0,21,1,4,1.8,4,0.01,0.06,0.05,0.20,0,0,0.9,False,6.6,90,0,0,0,True,2,0,0,1,0,1.0,5,1
1,False,7,0,0,15,1,1,22.9,7,0.11,0.17,0.06,0.20,0,0,4.1,False,11.0,90,0,0,0,True,5,0,0,1,1,7.0,3,0
1,False,8,1,0,31,1,4,12.2,5,0.09,0.13,0.04,0.06,0,0,4.2,False,26.0,80,0,0,0,True,1,0,0,1,1,4.0,9,0
1,False,9,0,0,3,0,0,0.5,0,0.00,0.00,0.00,0.15,0,0,0.1,False,0.4,9,0,0,0,True,0,0,0,0,0,0.0,1,0
1,False,10,1,2,37,1,4,26.8,5,0.21,0.39,0.18,0.20,0,0,7.3,False,33.2,90,0,0,0,True,3,0,0,1,1,13.0,11,0
1,False,11,0,0,27,1,6,0.6,6,0.00,0.00,0.00,0.20,0,0,1.5,False,14.4,90,0,0,0,True,3,0,0,1,0,0.0,6,0
1,False,12,0,1,36,1,2,26.1,7,0.08,0.72,0.64,0.06,0,1,10.2,False,42.8,67,0,0,0,True,4,0,0,1,1,33.0,9,0
1,False,13,0,0,10,1,3,6.4,6,0.08,0.15,0.07,0.06,0,0,1.5,False,6.8,67,0,0,0,True,3,0,0,1,0,2.0,3,0
1,False,14,0,0,4,0,0,1.8,2,0.00,0.04,0.04,0.15,0,0,0.1,False,0.0,14,0,0,0,True,2,0,0,0,0,1.0,1,0
1,False,15,0,3,41,1,1,41.5,8,0.10,0.31,0.21,0.06,0,1,12.3,False,50.6,75,0,0,0,True,4,0,0,1,3,31.0,11,0
1,False,16,0,0,8,0,0,43.1,2,0.04,0.04,0.00,0.15,0,0,5.3,False,9.4,22,0,0,0,True,2,0,0,0,0,0.0,1,0
1,False,17,0,0,5,0,0,1.2,2,0.02,0.16,0.14,0.15,0,0,1.9,False,3.6,14,0,0,0,True,2,0,0,0,0,14.0,1,0
1,False,19,0,0,3,0,0,2.3,3,0.02,0.02,0.00,0.15,0,0,0.6,False,3.8,22,0,0,0,True,2,0,0,0,1,0.0,1,0
1,False,26,0,0,34,1,2,13.2,2,0.03,0.29,0.26,0.20,0,1,7.5,False,37.2,90,0,0,0,True,0,0,0,1,0,25.0,6,0
1,False,29,0,0,1,0,2,0.0,0,0.00,0.00,0.00,3.77,4,0,2.8,False,28.2,90,0,0,0,True,6,0,3,1,0,0.0,1,0
1,False,32,0,0,-8,0,5,1.1,7,0.00,0.00,0.00,3.77,4,0,1.3,False,12.0,90,0,0,0,True,0,0,0,1,2,0.0,-1,1
1,False,33,0,0,5,0,0,0.0,1,0.00,0.00,0.00,0.22,0,0,0.2,False,2.0,16,0,0,0,True,0,0,0,0,1,0.0,1,0
1,False,34,0,0,-14,0,5,0.7,5,0.00,0.00,0.00,3.55,4,0,0.0,False,0.0,73,0,0,0,True,1,0,0,1,0,0.0,0,0
